sentence,label
Maybe he will take out the trash someday.,not instruction
Try to lock the door.,instruction
Can you submit the report?,instruction
Make sure you read the instructions.,instruction
"Please, start the meeting now.",instruction
Maybe he will check the mailbox someday.,not instruction
I often pay the bill.,not instruction
It's possible to call your mom.,not instruction
They decided to draw a picture.,not instruction
Take time to draw a picture.,instruction
read the instructions sounds like fun.,not instruction
It's possible to send the email.,not instruction
"send the email, please.",instruction
I will probably pay the bill.,not instruction
It's important that you complete your homework.,instruction
It's important that you clean your room.,instruction
She loves to wash your hands.,not instruction
She loves to write your name.,not instruction
I will probably check the mailbox.,not instruction
I will probably wash your hands.,not instruction
It's important that you wash your hands.,instruction
lock the door at your earliest convenience.,instruction
He wants to check the mailbox.,not instruction
Always write a summary.,instruction
"start the meeting, please.",instruction
She was about to start the meeting.,not instruction
Don't forget to send the email.,instruction
Maybe he will check the mailbox someday.,not instruction
"wash your hands, please.",instruction
I will probably pick up your package.,not instruction
wash your hands sounds like fun.,not instruction
complete your homework at your earliest convenience.,instruction
It's important that you read the instructions.,instruction
Take time to submit the report.,instruction
They plan to call your mom.,not instruction
You must write your name.,instruction
They have finished pay the bill.,not instruction
They have finished start the meeting.,not instruction
Please update your password.,instruction
They have finished call your mom.,not instruction
I like to read the instructions.,not instruction
"take out the trash, please.",instruction
pick up your package at your earliest convenience.,instruction
She loves to complete your homework.,not instruction
write your name at your earliest convenience.,instruction
They plan to call your mom.,not instruction
I often submit the report.,not instruction
She was about to send the email.,not instruction
Be sure to take out the trash.,instruction
I will probably clean your room.,not instruction
Can you open the window?,instruction
He thinks about check the mailbox.,not instruction
Maybe he will check the mailbox someday.,not instruction
turn off the lights sounds like fun.,not instruction
Be sure to write your name.,instruction
They plan to update your password.,not instruction
Please wash your hands.,instruction
Never submit the report.,instruction
It's possible to take out the trash.,not instruction
They plan to call your mom.,not instruction
He wants to draw a picture.,not instruction
Maybe he will complete your homework someday.,not instruction
Maybe he will send the email someday.,not instruction
Please draw a picture.,instruction
You must feed the cat.,instruction
He thinks about turn off the lights.,not instruction
Don't forget to feed the cat.,instruction
They have finished complete your homework.,not instruction
They have finished draw a picture.,not instruction
I often send the email.,not instruction
It's important that you take out the trash.,instruction
Always take out the trash.,instruction
She loves to submit the report.,not instruction
It's possible to check the mailbox.,not instruction
start the meeting sounds like fun.,not instruction
read the instructions at your earliest convenience.,instruction
open the window at your earliest convenience.,instruction
I like to write a summary.,not instruction
